((3, 1), (6, 2), (20, 5), (36, 10), (35, 100))
((3, 1), (6, 2), (38, 5), (17, 10), (36, 100))
((3, 1), (11, 2), (12, 5), (39, 10), (35, 100))
((3, 1), (11, 2), (30, 5), (20, 10), (36, 100))
((3, 1), (11, 2), (48, 5), (1, 10), (37, 100))
((3, 1), (16, 2), (4, 5), (42, 10), (35, 100))
((3, 1), (16, 2), (22, 5), (23, 10), (36, 100))
((3, 1), (16, 2), (40, 5), (4, 10), (37, 100))
((3, 1), (21, 2), (14, 5), (26, 10), (36, 100))
((3, 1), (21, 2), (32, 5), (7, 10), (37, 100))
((3, 1), (26, 2), (6, 5), (29, 10), (36, 100))
((3, 1), (26, 2), (24, 5), (10, 10), (37, 100))
((3, 1), (31, 2), (16, 5), (13, 10), (37, 100))
((3, 1), (36, 2), (8, 5), (16, 10), (37, 100))
((3, 1), (46, 2), (10, 5), (3, 10), (38, 100))
((3, 1), (51, 2), (2, 5), (6, 10), (38, 100))
((4, 1), (3, 2), (5, 5), (54, 10), (34, 100))
((4, 1), (3, 2), (23, 5), (35, 10), (35, 100))
((4, 1), (3, 2), (41, 5), (16, 10), (36, 100))
((4, 1), (8, 2), (15, 5), (38, 10), (35, 100))
((4, 1), (8, 2), (33, 5), (19, 10), (36, 100))
((4, 1), (13, 2), (7, 5), (41, 10), (35, 100))
((4, 1), (13, 2), (25, 5), (22, 10), (36, 100))
((4, 1), (13, 2), (43, 5), (3, 10), (37, 100))
((4, 1), (18, 2), (17, 5), (25, 10), (36, 100))
((4, 1), (18, 2), (35, 5), (6, 10), (37, 100))
((4, 1), (23, 2), (9, 5), (28, 10), (36, 100))
((4, 1), (23, 2), (27, 5), (9, 10), (37, 100))
((4, 1), (28, 2), (1, 5), (31, 10), (36, 100))
((4, 1), (28, 2), (19, 5), (12, 10), (37, 100))
((4, 1), (33, 2), (11, 5), (15, 10), (37, 100))
((4, 1), (38, 2), (3, 5), (18, 10), (37, 100))
((4, 1), (43, 2), (13, 5), (2, 10), (38, 100))
((4, 1), (48, 2), (5, 5), (5, 10), (38, 100))
((5, 1), (5, 2), (18, 5), (37, 10), (35, 100))
((5, 1), (5, 2), (36, 5), (18, 10), (36, 100))
((5, 1), (10, 2), (10, 5), (40, 10), (35, 100))
((5, 1), (10, 2), (28, 5), (21, 10), (36, 100))
((5, 1), (10, 2), (46, 5), (2, 10), (37, 100))
((5, 1), (15, 2), (2, 5), (43, 10), (35, 100))
((5, 1), (15, 2), (20, 5), (24, 10), (36, 100))
((5, 1), (15, 2), (38, 5), (5, 10), (37, 100))
((5, 1), (20, 2), (12, 5), (27, 10), (36, 100))
((5, 1), (20, 2), (30, 5), (8, 10), (37, 100))
((5, 1), (25, 2), (4, 5), (30, 10), (36, 100))
((5, 1), (25, 2), (22, 5), (11, 10), (37, 100))
((5, 1), (30, 2), (14, 5), (14, 10), (37, 100))
((5, 1), (35, 2), (6, 5), (17, 10), (37, 100))
((5, 1), (40, 2), (16, 5), (1, 10), (38, 100))
((5, 1), (45, 2), (8, 5), (4, 10), (38, 100))
((6, 1), (2, 2), (3, 5), (55, 10), (34, 100))
((6, 1), (2, 2), (21, 5), (36, 10), (35, 100))
((6, 1), (2, 2), (39, 5), (17, 10), (36, 100))
((6, 1), (7, 2), (13, 5), (39, 10), (35, 100))
((6, 1), (7, 2), (31, 5), (20, 10), (36, 100))
((6, 1), (7, 2), (49, 5), (1, 10), (37, 100))
((6, 1), (12, 2), (5, 5), (42, 10), (35, 100))
((6, 1), (12, 2), (23, 5), (23, 10), (36, 100))
((6, 1), (12, 2), (41, 5), (4, 10), (37, 100))
((6, 1), (17, 2), (15, 5), (26, 10), (36, 100))
((6, 1), (17, 2), (33, 5), (7, 10), (37, 100))
((6, 1), (22, 2), (7, 5), (29, 10), (36, 100))
((6, 1), (22, 2), (25, 5), (10, 10), (37, 100))
((6, 1), (27, 2), (17, 5), (13, 10), (37, 100))
((6, 1), (32, 2), (9, 5), (16, 10), (37, 100))
((6, 1), (37, 2), (1, 5), (19, 10), (37, 100))
((6, 1), (42, 2), (11, 5), (3, 10), (38, 100))
((6, 1), (47, 2), (3, 5), (6, 10), (38, 100))
((7, 1), (4, 2), (16, 5), (38, 10), (35, 100))
((7, 1), (4, 2), (34, 5), (19, 10), (36, 100))
((7, 1), (9, 2), (8, 5), (41, 10), (35, 100))
((7, 1), (9, 2), (26, 5), (22, 10), (36, 100))
((7, 1), (9, 2), (44, 5), (3, 10), (37, 100))
((7, 1), (14, 2), (18, 5), (25, 10), (36, 100))
((7, 1), (14, 2), (36, 5), (6, 10), (37, 100))
((7, 1), (19, 2), (10, 5), (28, 10), (36, 100))
((7, 1), (19, 2), (28, 5), (9, 10), (37, 100))
((7, 1), (24, 2), (2, 5), (31, 10), (36, 100))
((7, 1), (24, 2), (20, 5), (12, 10), (37, 100))
((7, 1), (29, 2), (12, 5), (15, 10), (37, 100))
((7, 1), (34, 2), (4, 5), (18, 10), (37, 100))
((7, 1), (39, 2), (14, 5), (2, 10), (38, 100))
((7, 1), (44, 2), (6, 5), (5, 10), (38, 100))
((8, 1), (1, 2), (1, 5), (56, 10), (34, 100))
((8, 1), (1, 2), (19, 5), (37, 10), (35, 100))
((8, 1), (1, 2), (37, 5), (18, 10), (36, 100))
((8, 1), (6, 2), (11, 5), (40, 10), (35, 100))
((8, 1), (6, 2), (29, 5), (21, 10), (36, 100))
((8, 1), (6, 2), (47, 5), (2, 10), (37, 100))
((8, 1), (11, 2), (3, 5), (43, 10), (35, 100))
((8, 1), (11, 2), (21, 5), (24, 10), (36, 100))
((8, 1), (11, 2), (39, 5), (5, 10), (37, 100))
((8, 1), (16, 2), (13, 5), (27, 10), (36, 100))
((8, 1), (16, 2), (31, 5), (8, 10), (37, 100))
((8, 1), (21, 2), (5, 5), (30, 10), (36, 100))
((8, 1), (21, 2), (23, 5), (11, 10), (37, 100))
((8, 1), (26, 2), (15, 5), (14, 10), (37, 100))
((8, 1), (31, 2), (7, 5), (17, 10), (37, 100))
((8, 1), (36, 2), (17, 5), (1, 10), (38, 100))
((8, 1), (41, 2), (9, 5), (4, 10), (38, 100))
((8, 1), (46, 2), (1, 5), (7, 10), (38, 100))
((9, 1), (3, 2), (14, 5), (39, 10), (35, 100))
((9, 1), (3, 2), (32, 5), (20, 10), (36, 100))
((9, 1), (3, 2), (50, 5), (1, 10), (37, 100))
((9, 1), (8, 2), (6, 5), (42, 10), (35, 100))
((9, 1), (8, 2), (24, 5), (23, 10), (36, 100))
((9, 1), (8, 2), (42, 5), (4, 10), (37, 100))
((9, 1), (13, 2), (16, 5), (26, 10), (36, 100))
((9, 1), (13, 2), (34, 5), (7, 10), (37, 100))
((9, 1), (18, 2), (8, 5), (29, 10), (36, 100))
((9, 1), (18, 2), (26, 5), (10, 10), (37, 100))
((9, 1), (23, 2), (18, 5), (13, 10), (37, 100))
((9, 1), (28, 2), (10, 5), (16, 10), (37, 100))
((9, 1), (33, 2), (2, 5), (19, 10), (37, 100))
((9, 1), (38, 2), (12, 5), (3, 10), (38, 100))
((9, 1), (43, 2), (4, 5), (6, 10), (38, 100))
((10, 1), (5, 2), (9, 5), (41, 10), (35, 100))
((10, 1), (5, 2), (27, 5), (22, 10), (36, 100))
((10, 1), (5, 2), (45, 5), (3, 10), (37, 100))
((10, 1), (10, 2), (1, 5), (44, 10), (35, 100))
((10, 1), (10, 2), (19, 5), (25, 10), (36, 100))
((10, 1), (10, 2), (37, 5), (6, 10), (37, 100))
